,human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_model_summaries
63,#Person2# is describing the educational background and previous working experience to #Person1# in a job interview.,#Person1#: I have a good command of office skills. #Person2#: I have a good command of secretarial skills. #Person1#: I have a good command of office skills. #Person2#: I have a good command of secretarial skills. #Person1#: I have a good command of office skills. #Person2#: I have a good command of secretarial skills.,"#Person2# tells #Person1# #Person2# has special skills, a doctor's license, a driving license, special training in office skills, and experience in IBM-PC. #Person2# has passed the Cambridge Examinations, First Certificate, and the Certificate of Proficiency in English, and passed the Cambridge Examinations, First Certificate, and the Certificate of Proficiency in English.","#Person2# tells #Person1# #Person2#'s special skills and qualifications. #Person2# passed both the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English and studied for a year in London at the Lucas Secretarial College. #Person2#'s experience in IBM-PC qualifies #Person2# for the job."
64,#Person2# is being interviewed by #Person1#. #Person2# is equipped with a bunch of valuable office skills.,#Person1#: I have a good command of office skills. #Person2#: I have a good command of secretarial skills. #Person1#: I have a good command of office skills. #Person2#: I have a good command of secretarial skills. #Person1#: I have a good command of office skills. #Person2#: I have a good command of secretarial skills.,"#Person2# tells #Person1# #Person2# has special skills, a doctor's license, a driving license, special training in office skills, and experience in IBM-PC. #Person2# has passed the Cambridge Examinations, First Certificate, and the Certificate of Proficiency in English, and passed the Cambridge Examinations, First Certificate, and the Certificate of Proficiency in English.","#Person2# tells #Person1# #Person2#'s special skills and qualifications. #Person2# passed both the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English and studied for a year in London at the Lucas Secretarial College. #Person2#'s experience in IBM-PC qualifies #Person2# for the job."
65,"#Person1# asks about #Person2#'s special skills, training, previous working experience and other qualification for the job.",#Person1#: I have a good command of office skills. #Person2#: I have a good command of secretarial skills. #Person1#: I have a good command of office skills. #Person2#: I have a good command of secretarial skills. #Person1#: I have a good command of office skills. #Person2#: I have a good command of secretarial skills.,"#Person2# tells #Person1# #Person2# has special skills, a doctor's license, a driving license, special training in office skills, and experience in IBM-PC. #Person2# has passed the Cambridge Examinations, First Certificate, and the Certificate of Proficiency in English, and passed the Cambridge Examinations, First Certificate, and the Certificate of Proficiency in English.","#Person2# tells #Person1# #Person2#'s special skills and qualifications. #Person2# passed both the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English and studied for a year in London at the Lucas Secretarial College. #Person2#'s experience in IBM-PC qualifies #Person2# for the job."
66,#Person1# is not satisfied with the steak and #Person2# will change it.,"#Person1#: I'm sorry, but I'm not sure what you ordered.",#Person1# asks #Person2# to change the steak to be medium rare. #Person2# will bring another one if it isn't to #Person1#'s satisfaction.,#Person1# asks #Person2# to change the steak because it's too well done and tough. #Person2# will bring another steak if it's not to #Person1#'s satisfaction.
67,#Person2# will change a steak for #Person1# as that one doesn't satisfy #Person1#.,"#Person1#: I'm sorry, but I'm not sure what you ordered.",#Person1# asks #Person2# to change the steak to be medium rare. #Person2# will bring another one if it isn't to #Person1#'s satisfaction.,#Person1# asks #Person2# to change the steak because it's too well done and tough. #Person2# will bring another steak if it's not to #Person1#'s satisfaction.
68,"#Person1# is not satisfied with #Person1#'s steak and asks to change one, and #Person2# agrees.","#Person1#: I'm sorry, but I'm not sure what you ordered.",#Person1# asks #Person2# to change the steak to be medium rare. #Person2# will bring another one if it isn't to #Person1#'s satisfaction.,#Person1# asks #Person2# to change the steak because it's too well done and tough. #Person2# will bring another steak if it's not to #Person1#'s satisfaction.
69,#Person1# congratulates Tom for achieving the Nobel Prize.,Tom's novel has won the Nobel Prize.,Tom's novel has won the Nobel Prize. #Person1# is proud of Tom and they'll celebrate.,Tom's novel has won the Nobel Prize. Tom is proud of him.
70,#Person1# tells Tom that his novel has won the Nobel Prize.,Tom's novel has won the Nobel Prize.,Tom's novel has won the Nobel Prize. #Person1# is proud of Tom and they'll celebrate.,Tom's novel has won the Nobel Prize. Tom is proud of him.
71,#Person2# tells Tom he won the Nobel Prize.,Tom's novel has won the Nobel Prize.,Tom's novel has won the Nobel Prize. #Person1# is proud of Tom and they'll celebrate.,Tom's novel has won the Nobel Prize. Tom is proud of him.
72,#Person1# is interviewing #Person2# about #Person2#'s ability and previous experience.,"During my undergraduate studies, I was responsible for the design of the first generation of automobiles.","#Person2# tells #Person1# #Person2#'s major, major, and past work experience. #Person2# is a student engineer who mainly took charge of understanding of the mechanical strength and corrosion resistance of various materials.",#Person2# tells #Person1# #Person2#'s major is Automobile Designing and #Person2#'s master's degree in science. #Person2#'s past employment included a student engineer who took charge of understanding of the mechanical strength and corrosion resistance of various materials.
73,#Person1# asks #Person2# about #Person2#'s capacities and past working experience during an interview.,"During my undergraduate studies, I was responsible for the design of the first generation of automobiles.","#Person2# tells #Person1# #Person2#'s major, major, and past work experience. #Person2# is a student engineer who mainly took charge of understanding of the mechanical strength and corrosion resistance of various materials.",#Person2# tells #Person1# #Person2#'s major is Automobile Designing and #Person2#'s master's degree in science. #Person2#'s past employment included a student engineer who took charge of understanding of the mechanical strength and corrosion resistance of various materials.
74,#Person1# asks #Person2# about #Person2#'s qualification for the job.,"During my undergraduate studies, I was responsible for the design of the first generation of automobiles.","#Person2# tells #Person1# #Person2#'s major, major, and past work experience. #Person2# is a student engineer who mainly took charge of understanding of the mechanical strength and corrosion resistance of various materials.",#Person2# tells #Person1# #Person2#'s major is Automobile Designing and #Person2#'s master's degree in science. #Person2#'s past employment included a student engineer who took charge of understanding of the mechanical strength and corrosion resistance of various materials.
